uniqueID,StudyID_IDALL,Title,Country,Continent,WB.Nat.Inc.Group,WB.Group2,Intensification.actors,Actors.categories,Lead,Farmer.led,joint.outcome,overall.outcome,Latitude_Decimal_Degrees_N,Longitude _Decimal_Degrees_E,Title,Case.countries,Continent,Row_ID,Paper_ID,ID_FullText,Latitude,Longitude,Combined.ecological.social.outcome,hfp_2000,hfp_2018,hfp_av,studyID,HDI2022,HDIav,HDI1990,BackdateSDGIndex2000,SDGav,SDG2023,Country,random.effect,random.effect2,Pop1990,IneqInc2010,poverty_year,poverty_gap,poverty_severity,WB.year1,WB2017.pov.headcount.1990,WB2017.povgap.1990,WB2017.povseverity.1990,WB2017.decile20.1990,WB.year2,WB2017.pov.headcount.2000,WB2017.povgap.2000,WB2017.povseverity.2000,WB2017.decile20.2000,Equal.p0p100,Equal.p0p50,Equal.p90p100,Equal.p99p100,Equal.pall
187,396,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,Zimbabwe,Africa,LMIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Mix,negative,-18.166667,32.416667,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,Zimbabwe,Africa,153,396,146,-18.166667,32.416667,Lose-Mix,8.609455109,9.55570507,9.08258009,396,0.55,0.478515152,0.479,57.1,56.3,57.8,Zimbabwe,Sth.Africa,Africa.Sth,488.5727695,40.56120989,2011,0.052377769,0.016843888,2011,0.78477,0.404895683,0.247938297,0.033481037,2011,0.78477,0.404895683,0.247938297,0.033481037,0.31189999,0.1125,0.5255,0.1749,33.0652
347,622,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Burkina Faso,Africa,LIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Win,tradeoff,"11.165142930326551, -4.305207847776448 /11.150263146937862, -4.533322266538975","11.165142930326551, -4.305207847776448 /11.150263146937862, -4.533322266538975",Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Burkina Faso,Africa,304,622,255,11.16514293,-4.533322267,Lose-Win,17.76384544,18.6326828,18.19826412,622,0.438,0.373583333,0.294,43.7,48.5,52.9,Burkina Faso,NthandW.Africa,Africa.NW,9.1313605,40.43668,1994,0.46675804,0.301177917,1994.25,0.976321034,0.788464524,0.662847612,0.03267617,1998,0.966403914,0.76245933,0.626979507,0.031523458,0.28729999,0.1009,0.5794,0.2126,1977.1253
348,622,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Ethiopia,Africa,LIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Win,tradeoff,NA,NA,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Ethiopia,Africa,305,622,255,9.019071903,38.75423335,Lose-Win,38.05722046,38.05722046,38.05722046,622,0.492,0.406652174,0.286,43.7,48.9,55.2,Ethiopia,NthandW.Africa,Africa.SubSah,47.8780735,34.36691,1981,0.255120473,0.117820411,1995,0.969276417,0.708518063,0.544513349,0.037519175,1999,0.980328192,0.67509391,0.48714399,0.05264707,0.26730001,0.1137,0.5829,0.2969,1645.3963
342,725,"Effect of Sorghum-Mung Bean Intercropping on Sorghum-Based Cropping System in the Lowlands of North Shewa, Ethiopia",Ethiopia,Africa,LIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Win,tradeoff,10° 03? 51.7? N (10.064361) and 10° 17? 44.2? N (10.295611), 38° 59? 12.0? E (38.986667) and 39° 54? 04.3?E (39.901194),"Effect of Sorghum-Mung Bean Intercropping on Sorghum-Based Cropping System in the Lowlands of North Shewa, Ethiopia",Ethiopia,Africa,337,725,310,10.179986,39.4439305,Lose-Win,17.27067947,17.82579422,17.54823685,725,0.492,0.406652174,0.286,43.7,48.9,55.2,Ethiopia,NthandW.Africa,Africa.SubSah,47.8780735,34.36691,1981,0.255120473,0.117820411,1995,0.969276417,0.708518063,0.544513349,0.037519175,1999,0.980328192,0.67509391,0.48714399,0.05264707,0.26730001,0.1137,0.5829,0.2969,1645.3963
81,767,Unravelling the causes of variability in crop yields and treatment responses for better tailoring of options for sustainable intensification in southern Mali,Mali,Africa,LIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Win,tradeoff,"12.284518897111528, -5.342026519362749 / 
12.324141139442702, -5.309194020693147 / 
12.363462187700772, -5.346383977058427 / 
12.290785333161283, -5.496685476696215 /
12.755592813272688, -5.826635343042835/ 
12.250070539502527, -5.175471929377544 /
 12.28121802792912, -5.259616713631484 / 
12.284425887073713, -5.348305433441962
","12.284518897111528, -5.342026519362749 / 12.324141139442702, -5.309194020693147 / 12.363462187700772, -5.346383977058427 / 12.290785333161283, -5.496685476696215 /12.755592813272688, -5.826635343042835/ 12.318436783584565, -5.3670230707599265 / 12.250070539502527, -5.175471929377544",Unravelling the causes of variability in crop yields and treatment responses for better tailoring of options for sustainable intensification in southern Mali,Mali,Africa,364,767,352,12.2845189,-5.342026519,Lose-Win,22.14599037,24.18006706,23.16302872,767,0.41,0.351393939,0.236,46.1,52.2,56.8,Mali,NthandW.Africa,Africa.NW,8.945026,45.57928,1994,0.512351071,0.352756292,1994,0.980602443,0.809643792,0.693394752,0.028488464,2001,0.957964527,0.6491111,0.478603971,0.037863717,0.2638,0.093,0.5854,0.2165,2608.984
111,762,Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda.,Rwanda,Africa,LIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Win,tradeoff,-1.474139,29.568172,Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda.,Rwanda,Africa,360,762,347,-1.474139,29.568172,Lose-Win,13.54806709,14.13189125,13.83997917,762,0.548,0.436714286,0.279,45.9,53.6,60.9,Rwanda,SubSah.Africa,Africa.SubSah,7.3199625,47.60113,1984,0.171547154,0.065193588,1984,0.9803,0.670314907,0.482026235,0.052932969,2000,0.960909283,0.737662809,0.593156044,0.032004195,0.31470001,0.1014,0.5981,0.2408,1629.0377
188,396,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,Zimbabwe,Africa,LMIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Win,tradeoff,-18.166667,32.416667,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,Zimbabwe,Africa,154,396,146,-18.166667,32.416667,Lose-Win,8.609455109,9.55570507,9.08258009,396,0.55,0.478515152,0.479,57.1,56.3,57.8,Zimbabwe,Sth.Africa,Africa.Sth,488.5727695,40.56120989,2011,0.052377769,0.016843888,2011,0.78477,0.404895683,0.247938297,0.033481037,2011,0.78477,0.404895683,0.247938297,0.033481037,0.31189999,0.1125,0.5255,0.1749,33.0652
349,622,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Zimbabwe,Africa,LMIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Win,tradeoff,NA,NA,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Zimbabwe,Africa,306,622,255,-17.83258517,31.05112292,Lose-Win,46.02321243,46.02321243,46.02321243,622,0.438,0.373583333,0.294,43.7,48.5,52.9,Burkina Faso,NthandW.Africa,Africa.NW,9.1313605,40.43668,1994,0.46675804,0.301177917,1994.25,0.976321034,0.788464524,0.662847612,0.03267617,1998,0.966403914,0.76245933,0.626979507,0.031523458,0.28729999,0.1009,0.5794,0.2126,1977.1253
352,622,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Zimbabwe,Africa,LMIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Win,tradeoff,NA,NA,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Zimbabwe,Africa,309,622,255,-17.83258517,31.05112292,Lose-Win,46.02321243,46.02321243,46.02321243,622,0.55,0.478515152,0.479,57.1,56.3,57.8,Zimbabwe,Sth.Africa,Africa.Sth,488.5727695,40.56120989,2011,0.052377769,0.016843888,2011,0.78477,0.404895683,0.247938297,0.033481037,2011,0.78477,0.404895683,0.247938297,0.033481037,0.31189999,0.1125,0.5255,0.1749,33.0652
337,727,How Does Maize-Cowpea Intercropping Maximize Land Use and Economic Return? A Field Trial in Bangladesh,Bangladesh,Asia,LMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Win,tradeoff,22.464425,90.387247,How Does Maize-Cowpea Intercropping Maximize Land Use and Economic Return? A Field Trial in Bangladesh,Bangladesh,Asia,340,727,312,22.464425,90.387247,Lose-Win,18.37650871,18.37650871,18.37650871,727,0.67,0.53130303,0.399,53.8,58.3,64.3,Bangladesh,Asia,Asia.Nep.Bang,107.147651,30.74996,1988,0.104417092,0.035923409,1988.5,0.97072,0.61356202,0.413925547,0.052850131,2000,0.932271821,0.547776118,0.354739174,0.049122287,0.2227,0.1862,0.3919,0.1313,2787.3495
244,444,Sustainable management of dryland alfisols (Red Soils) in South India,India,Asia,LMIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Win,tradeoff,8° 30? (8.5) to 10° 40? (10.666667) N and 78° 24? (78.4) to 79° 40? E (79.666667) ,8° 30? (8.5) to 10° 40? (10.666667) N and 78° 24? (78.4) to 79° 40? E (79.666667) ,Sustainable management of dryland alfisols (Red Soils) in South India,India,Asia,207,444,178,9.5833335,79.0333335,Lose-Win,21.730837,22.202074,21.9664555,444,0.644,0.541484848,0.434,52.2,56.8,64,India,India,Asia.India,870.452165,37.1474,1987,0.160148097,0.062031089,1987,0.967779762,0.638537054,0.448390694,0.048919292,2004,0.949222407,0.587776297,0.394419558,0.04880369,0.145,0.2027,0.344,0.1074,3087.9445
264,497,Productivity and risk evaluation in constrasting intercropping systems,India,Asia,LMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Win,tradeoff,17.511047,78.275,Productivity and risk evaluation in constrasting intercropping systems,India,Asia,227,497,198,17.511047,78.275,Lose-Win,39.1257782,39.1257782,39.1257782,497,0.644,0.541484848,0.434,52.2,56.8,64,India,India,Asia.India,870.452165,37.1474,1987,0.160148097,0.062031089,1987,0.967779762,0.638537054,0.448390694,0.048919292,2004,0.949222407,0.587776297,0.394419558,0.04880369,0.145,0.2027,0.344,0.1074,3087.9445
265,505,Evaluation of cotton (Gossypium hirsutum)-based intercropping system through different approaches under rainfed conditions,India,Asia,LMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Win,tradeoff,18.05,79.366667,Evaluation of cotton (Gossypium hirsutum)-based intercropping system through different approaches under rainfed conditions,India,Asia,228,505,202,18.05,79.366667,Lose-Win,8.492688179,8.090932846,8.291810513,505,0.644,0.541484848,0.434,52.2,56.8,64,India,India,Asia.India,870.452165,37.1474,1987,0.160148097,0.062031089,1987,0.967779762,0.638537054,0.448390694,0.048919292,2004,0.949222407,0.587776297,0.394419558,0.04880369,0.145,0.2027,0.344,0.1074,3087.9445
291,732,"Economic assessment of conventional and conservation tillage practices in different wheat-based cropping systems of Punjab, Pakistan. ",Pakistan,Asia,LMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Win,tradeoff,30.183333,71.43,"Economic assessment of conventional and conservation tillage practices in different wheat-based cropping systems of Punjab, Pakistan. ",Pakistan,Asia,342,732,317,30.183333,71.43,Lose-Win,45.10698318,38.10698318,41.60698318,732,0.54,0.472545455,0.394,51.5,54.5,57,Pakistan,Asia,Asia.MidE,115.4140695,27.40815,1987,0.240472546,0.110277539,1990,0.980821039,0.697555121,0.521415735,0.047089709,2001,0.961073957,0.576563158,0.373113752,0.05515402,0.088799998,0.1631,0.4304,0.1509,5076.9698
104,766,Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions,Turkey,Asia,UMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Win,tradeoff,39.898367,41.236439,Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions,Turkye,Asia,363,766,351,39.898367,41.236439,Lose-Win,34.57632828,34.57632828,34.57632828,766,0.855,0.721666667,0.598,65.8,68.1,70.5,Turkiye,Asia,Asia.MidE,8.4400235,25.73074,1987,2.09E-04,6.62E-06,1987,0.45076,0.159486648,0.07447707,0.035876304,2002,0.396645267,0.139614517,0.066156424,0.034826403,0.2078,0.1125,0.5817,0.255,16744.7138
373,710,Economics of crop diversification and soil tillage opportunities in the Canadian prairies,Canada,North America,HIC,Low,Farmer-led,Farmer-led,Farmer-led,1,Lose-Win,tradeoff,50.533306,-103.666667,Economics of spring wheat production systems using conventional tillage management in the Brown soil zone - Revisited,Canada,North America,334,711,296,50.285828,-107.800597,Win-Mix,38.3506012,38.35482788,38.35271454,711,0.935,0.902575758,0.861,75.5,76.7,78.8,Canada,Nth.America,Nth.America.Europe,27.6572045,16.86028,1988,0.004776561,0.003870234,1990,0.017499413,0.012244442,0.010621422,0.04796744,2000,0.009996991,0.004449427,0.00294556,0.04482519,0.33559999,0.1986,0.3161,0.0927,40900.4093
280,525,Perenniality and diversity drive output stability and resilience in a 26-year cropping systems experiment,USA,North America,HIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Win,tradeoff,43.3048,-89.3308,Perenniality and diversity drive output stability and resilience in a 26-year cropping systems experiment,United States of America,North America,243,525,210,43.3048,-89.3308,Lose-Win,31.10403061,30.19329643,30.64866352,525,0.927,0.905606061,0.875,70.3,72.4,74.4,USA,Nth.America,Nth.America.Europe,3.1170125,25.98196,1990,0.002863552,0.002115102,1990,0.01498996,0.006972157,0.004824093,0.036358767,1999,0.962644332,0.704733576,0.545546114,0.035931145,0.33149999,0.1685,0.3876,0.1471,46084.2752
6,6,"Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya",Kenya,Africa,LMIC,Low,Farmer-led + support by global NGOs & researchers,Farmer-led + researcher/extension,Farmer-led,1,Mix-Lose,negative,-1.036862179,37.08315034,"Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya",Kenya,Africa,6,6,6,-1.036862179,37.08315034,Mix-Lose,34.25929642,39.25929642,36.75929642,6,0.601,0.530818182,0.48,51.2,56.5,62.2,Kenya,SubSah.Africa,Africa.SubSah,23.1622695,51.66112,1992,0.094083662,0.046138094,1992,0.75412,0.416089095,0.273785234,0.021733205,1997,0.825667804,0.44467879,0.281039116,0.032905244,0.27599999,0.1236,0.5114,0.1897,7553.7424
271,506,Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands,Madagascar,Africa,LIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Mix-Lose,negative,-19.55525,46.414953,Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands,Madagascar,Africa,234,506,203,-19.55525,46.414953,Mix-Lose,12.32124519,12.80533028,12.56328774,506,0.487,0.477875,0.431,43.9,48.5,51.2,Madagascar,Sth.Africa,Africa.Moz.Mad.Mali,11.882762,43.49785,1993,0.330605192,0.187799351,1993,0.975203852,0.733775933,0.579429071,0.034489943,1999,0.978004975,0.712126588,0.550211943,0.038128317,0.3057,0.1119,0.5621,0.2604,3397.5031
215,422,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality",Malawi,Africa,LIC,Low,Farmer-led,Farmer-led,Farmer-led,1,Mix-Lose,negative,-12.84342021,34.18786266,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality",Malawi,Africa,176,422,163,-12.84342021,34.18786266,Mix-Lose,18.05720329,19.16800308,18.61260319,423,0.508,0.423151515,0.299,49.4,52.2,56.8,Malawi,Sth.Africa,Africa.Moz.Mad.Mali,9.539665,46.73055,1997,0.214204289,0.101524213,1997,0.939166829,0.650405226,0.48125563,0.023017452,2004,0.972972871,0.709635912,0.545214241,0.040444737,0.097400002,0.0522,0.8023,0.6399,1357.8814
241,444,Sustainable management of dryland alfisols (Red Soils) in South India,India,Asia,LMIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Mix-Lose,negative,8° 30? (8.5) to 10° 40? (10.666667) N and 78° 24? (78.4) to 79° 40? E (79.666667) ,8° 30? (8.5) to 10° 40? (10.666667) N and 78° 24? (78.4) to 79° 40? E (79.666667) ,Sustainable management of dryland alfisols (Red Soils) in South India,India,Asia,204,444,178,9.5833335,79.0333335,Mix-Lose,21.730837,22.202074,21.9664555,444,0.644,0.541484848,0.434,52.2,56.8,64,India,India,Asia.India,870.452165,37.1474,1987,0.160148097,0.062031089,1987,0.967779762,0.638537054,0.448390694,0.048919292,2004,0.949222407,0.587776297,0.394419558,0.04880369,0.145,0.2027,0.344,0.1074,3087.9445
216,425,Intensifying a semi-arid dryland crop rotation by replacing fallow with pea,USA,North America,HIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Mix-Lose,negative,40.15000631,-103.1500074,Intensifying a semi-arid dryland crop rotation by replacing fallow with pea,United States of America,North America,179,425,165,40.15000631,-103.1500074,Mix-Lose,25.31390572,25.45154381,25.38272477,425,0.927,0.905606061,0.875,70.3,72.4,74.4,USA,Nth.America,Nth.America.Europe,3.1170125,25.98196,1990,0.002863552,0.002115102,1990,0.01498996,0.006972157,0.004824093,0.036358767,2000,0.014998319,0.008885098,0.006985633,0.036278065,0.33149999,0.1685,0.3876,0.1471,46084.2752
37,64,The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia,Ethiopia,Africa,LIC,Low,Farmer-led,Farmer-led,Farmer-led,1,Mix-Mix,tradeoff,8.4,39.183333,The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia,Ethiopia,Africa,30,64,32,8.4,39.183333,Mix-Mix,14.07095242,16.12398338,15.0974679,64,0.492,0.406652174,0.286,43.7,48.9,55.2,Ethiopia,NthandW.Africa,Africa.SubSah,47.8780735,34.36691,1981,0.255120473,0.117820411,1995,0.969276417,0.708518063,0.544513349,0.037519175,1999,0.980328192,0.67509391,0.48714399,0.05264707,0.26730001,0.1137,0.5829,0.2969,1645.3963
134,282,Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana,Ghana,Africa,LMIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Mix-Mix,tradeoff,9.966667,-0.666667,Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana,Ghana,Africa,110,282,105,9.966667,-0.666667,Mix-Mix,21.48381615,22.38653755,21.93517685,282,0.602,0.53369697,0.445,54.4,58.8,63,Ghana,NthandW.Africa,Africa.NW,15.446982,48.27522,1988,0.214731469,0.105432745,1991,0.971080572,0.69329454,0.52667276,0.03995601,1998,0.952901186,0.639251892,0.470004676,0.035523889,0.32550001,0.1409,0.4701,0.1379,4692.01
